MdlN,End Status,PrP start DT,Sim start DT,Sim end DT,PoP end DT,Sim Dur,Sim device name,Sim Dir,1st SP date,last SP date,Git tag,Git hash,PRJ_to_TIF,GXG,Up_MM,Date Removed Output
NBr58,Removed Output,01/04/2026 16:43,01/04/2026 16:48,08/04/2026 11:02,08/04/2026 11:03,6.18:14:04,UU120516,G:\models\NBr\Sim\NBr58,01/01/1996,01/01/1999,v0.8.1-200-g4935371,4935371aa50a4159b020dcc64c8b2d5b329c810e,1.0,1,1.0,09/04/2026 10:01
NBr60,Removed Output,14/04/2026 11:08,14/04/2026 11:10,14/04/2026 11:41,14/04/2026 11:41,00:31:03,UU120516,G:\models\NBr\Sim\NBr60,01/01/1996,02/04/1996,v0.8.1-214-g760e014,760e014f4ae87d2004a1a60eee4e3f0cb8f1d573,1.0,1,1.0,11/05/2026 19:01
NBr59,PoPed,15/04/2026 10:32,15/04/2026 10:37,16/04/2026 01:01,16/04/2026 01:01,14:23:05,UU120516,G:\models\NBr\Sim\NBr59,01/01/1996,31/12/1998,v0.8.1-218-g2af39f7,2af39f780de6debdcffbcedd721e4735818d77ea,1.0,1,1.0,
NBr63,Removed Output,17/04/2026 16:16,17/04/2026 16:24,17/04/2026 22:02,17/04/2026 22:03,05:38:17,UU120516,G:\models\NBr\Sim\NBr63,01/01/1996,31/12/1996,v0.8.1-227-geb6b60f,eb6b60fec4e4a943cace5054792704b42bb49d75,1.0,1,1.0,11/05/2026 19:01
NBr61,Removed Output,17/04/2026 16:38,17/04/2026 16:43,17/04/2026 22:12,17/04/2026 22:13,05:29:17,UU120516,G:\models\NBr\Sim\NBr61,01/01/1996,31/12/1996,v0.8.1-228-ge166679,e1666793c73ba16eb950264507790b9aa127a46e,1.0,1,1.0,11/05/2026 19:01
NBr62,Removed Output,17/04/2026 16:38,17/04/2026 16:44,17/04/2026 23:48,17/04/2026 23:48,07:03:50,UU120516,G:\models\NBr\Sim\NBr62,01/01/1996,31/12/1996,v0.8.1-228-ge166679,e1666793c73ba16eb950264507790b9aa127a46e,1.0,1,1.0,11/05/2026 19:01
NBr65,Removed Output,20/04/2026 18:39,20/04/2026 18:46,20/04/2026 18:51,,00:05:08,UU120516,G:\models\NBr\Sim\NBr65,01/01/1996,01/01/1997,v0.8.1-231-g6abdee5,6abdee57311dd96ba4b066c30ef3584bbb17e6f9,,,,11/05/2026 19:01
NBr64,Removed Output,22/04/2026 14:29,22/04/2026 14:37,22/04/2026 20:22,22/04/2026 20:23,05:45:19,UU120516,G:\models\NBr\Sim\NBr64,01/01/1996,01/01/1997,,,1.0,1,1.0,11/05/2026 19:01
NBr66,PoPed,22/04/2026 17:38,22/04/2026 17:43,22/04/2026 21:05,22/04/2026 21:05,03:21:45,UU120516,G:\models\NBr\Sim\NBr66,01/01/1996,01/01/1997,,,1.0,1,1.0,
NBr67,Removed Output,23/04/2026 17:53,23/04/2026 17:58,23/04/2026 22:26,23/04/2026 22:26,04:28:09,UU120516,G:\models\NBr\Sim\NBr67,01/01/1996,01/01/1997,,,1.0,1,1.0,11/05/2026 19:05
NBr68,PoPed,24/04/2026 18:53,24/04/2026 20:55,25/04/2026 23:09,25/04/2026 23:09,1.02:13:24,UU120516,G:\models\NBr\Sim\NBr68,01/01/1996,01/01/1998,v0.8.1-237-g5e18fcc,5e18fcca8a907a631b1d81a3365e48273381bc60,1.0,1,1.0,
NBr69,PoPed,24/04/2026 18:53,24/04/2026 20:54,25/04/2026 13:34,25/04/2026 13:34,16:39:47,UU120516,G:\models\NBr\Sim\NBr69,01/01/1996,01/01/1998,v0.8.1-237-g5e18fcc,5e18fcca8a907a631b1d81a3365e48273381bc60,1.0,1,1.0,
NBr70,PoPed,12/05/2026 12:02,12/05/2026 12:07,13/05/2026 01:29,13/05/2026 01:30,13:22:52,UU120516,G:\models\NBr\Sim\NBr70,01/01/1996,01/01/1998,v0.8.1-242-g011f473,011f473b36b71d3f531441d743231cfe06d3a69d,1.0,1,1.0,
NBr71,PoPed,18/05/2026 10:17,18/05/2026 10:42,18/05/2026 10:46,18/05/2026 10:46,00:03:42,UU120516,E:\models\NBr\Sim\NBr71,01/01/1996,03/01/1996,v0.8.1-249-g0e768c2,0e768c256bd87d2712eed3e523879f9db37112ca,1.0,1,1.0,
NBr72,Running,20/05/2026 10:45,20/05/2026 10:50,,,,UU120516,G:\models\NBr\Sim\NBr72,01/01/1996,01/01/1998,v0.8.1-253-g44f9ecd,44f9ecdbac4cddaa40e9c95d8ed75f74271d08fa,,,,
