x,y,ilay,id,code,filterno,surfacelevel,filtertoplevel,filterbottomlevel,L,R,C,case1_L,case2_L,case3_L,case4_L,L_match,TOP_L_match,BOT_L_match,match_distance,match?,L_extra,TOP_match?,BOT_match?
114730.0,390157.0,9,5028_2,5028,2,0.0,-0.98,-1.98,17,242,66,17,17,17.0,,17,-0.8399999737739563,-11.859999656677246,21.18962010041709,True,,True,True
114730.0,390157.0,11,B50B0428_3,B50B0428,3,9.02,-25.46,-26.46,21,242,66,21,21,21.0,,21,-25.309999465942383,-38.529998779296875,21.18962010041709,True,,True,True
114730.0,390157.0,9,B50B0428_2,B50B0428,2,9.02,-5.63,-6.63,17,242,66,17,17,17.0,,17,-0.8399999737739563,-11.859999656677246,21.18962010041709,True,,True,True
114730.0,390157.0,9,5028_3,5028,3,-0.02,-1.49,-2.49,17,242,66,17,17,17.0,,17,-0.8399999737739563,-11.859999656677246,21.18962010041709,True,,True,True
114715.0,389977.0,6,B50B0583_2,B50B0583,2,6.83,4.64,4.14,11,249,65,16,16,16.0,,16,5.97790002822876,-5.317200183868408,44.204072210600685,False,16,True,True
114715.0,389977.0,1,B50B0583_1,B50B0583,1,6.83,6.34,5.34,1,249,65,7,16,,"8, 9, 10, 11, 12, 13, 14, 15","7, 8, 9, 10, 11, 12, 13, 14, 15, 16",6.457910060882568,-5.317200183868408,44.204072210600685,False,"7, 8, 9, 10, 11, 12, 13, 14, 15, 16",True,True
115715.0,389382.0,3,5212_1,5212,1,7.92,8.92,7.92,5,273,105,5,7,,6,"5, 6, 7",9.460000038146973,7.349999904632568,47.4236228055175,True,"6, 7",True,True
118530.0,388835.0,12,B50B0056_2,B50B0056,2,14.77,-53.08,-54.58,23,295,218,23,23,23.0,,23,-49.709999084472656,-60.77000045776367,25.0,True,,True,True
118530.0,388835.0,10,B50B0056_1,B50B0056,1,14.77,-35.99,-37.49,19,295,218,19,19,19.0,,19,-13.109999656677246,-39.029998779296875,25.0,True,,True,True
116015.0,388490.0,12,B50B0210_2,B50B0210,2,11.09,-40.91,-42.91,23,309,117,23,23,23.0,,23,-35.0099983215332,-51.970001220703125,53.150729063673246,True,,True,True
116015.0,388490.0,18,B50B0210_3,B50B0210,3,11.09,-82.91,-84.91,35,309,117,35,35,35.0,,35,-71.08999633789062,-93.44999694824219,53.150729063673246,True,,True,True
116015.0,388490.0,9,B50B0210_1,B50B0210,1,11.09,-0.91,-2.91,17,309,117,17,17,17.0,,17,0.009999999776482582,-7.099999904632568,53.150729063673246,True,,True,True
116258.0,388313.0,4,5213_1,5213,1,9.34,9.34,8.34,7,316,127,5,7,,6,"5, 6, 7",10.579999923706055,7.860000133514404,37.8549864614954,True,"5, 6",True,True
